"filename", "language", "Python", "Markdown", "Ini", "YAML", "XML", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\activation_controller.py", "Python", 28, 0, 0, 0, 0, 11, 13, 52
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_cancellation.py", "Python", 55, 0, 0, 0, 0, 8, 14, 77
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 477, 0, 0, 0, 0, 49, 160, 686
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\bundle_validation.py", "Python", 54, 0, 0, 0, 0, 25, 23, 102
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\datetime_build_options.py", "Python", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\environment_sync_controller.py", "Python", 470, 0, 0, 0, 0, 0, 103, 573
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\file_pickers.py", "Python", 256, 0, 0, 0, 0, 80, 109, 445
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\json_import_controller.py", "Python", 84, 0, 0, 0, 0, 16, 31, 131
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\main.py", "Python", 1042, 0, 0, 0, 0, 93, 281, 1416
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_display_line_edit.py", "Python", 25, 0, 0, 0, 0, 0, 8, 33
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_hover.py", "Python", 96, 0, 0, 0, 0, 0, 19, 115
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_hover_text.py", "Python", 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\pyinstaller_tray_icon_hook.py", "Python", 39, 0, 0, 0, 0, 0, 18, 57
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\qt_resources_rc.py", "Python", 74, 0, 0, 0, 0, 4, 8, 86
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\recent_controller.py", "Python", 580, 0, 0, 0, 0, 40, 207, 827
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\state_controller.py", "Python", 215, 0, 0, 0, 0, 36, 68, 319
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\stress_test.py", "Python", 85, 0, 0, 0, 0, 20, 36, 141
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\styles.py", "Python", 549, 0, 0, 0, 0, 135, 61, 745
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tooltips.py", "Python", 282, 0, 0, 0, 0, 29, 77, 388
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tray_icon_support.py", "Python", 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_handlers.py", "Python", 212, 0, 0, 0, 0, 47, 63, 322
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_highlights.py", "Python", 58, 0, 0, 0, 0, 0, 18, 76
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\validation_controller.py", "Python", 540, 0, 0, 0, 0, 90, 126, 756
"Total", "-", 6644, 136, 4, 1, 105, 686, 2061, 9637
