"filename", "language", "Python", "Markdown", "XML", "Ini", "YAML", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_recent_controller.py", "Python", 93, 0, 0, 0, 0, 0, 35, 128
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_state_controller.py", "Python", 263, 0, 0, 0, 0, 0, 79, 342
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_tray_icon_support.py", "Python", 21, 0, 0, 0, 0, 0, 10, 31
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_ui_handlers.py", "Python", 40, 0, 0, 0, 0, 0, 15, 55
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_validation_controller.py", "Python", 275, 0, 0, 0, 0, 0, 85, 360
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\activation_controller.py", "Python", 28, 0, 0, 0, 0, 11, 13, 52
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_cancellation.py", "Python", 56, 0, 0, 0, 0, 8, 15, 79
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 514, 0, 0, 0, 0, 49, 167, 730
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\bundle_validation.py", "Python", 54, 0, 0, 0, 0, 25, 23, 102
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\datetime_build_options.py", "Python", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\environment_sync_controller.py", "Python", 513, 0, 0, 0, 0, 0, 111, 624
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\file_pickers.py", "Python", 256, 0, 0, 0, 0, 80, 109, 445
