"filename", "language", "Python", "Markdown", "XML", "YAML", "Ini", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_cancellation.py", "Python", 55, 0, 0, 0, 0, 8, 14, 77
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 466, 0, 0, 0, 0, 49, 159, 674
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\bundle_validation.py", "Python", 54, 0, 0, 0, 0, 25, 23, 102
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\datetime_build_options.py", "Python", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\environment_sync_controller.py", "Python", 468, 0, 0, 0, 0, 0, 103, 571
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\file_pickers.py", "Python", 256, 0, 0, 0, 0, 80, 109, 445
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\json_import_controller.py", "Python", 84, 0, 0, 0, 0, 16, 31, 131
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\main.py", "Python", 950, 0, 0, 0, 0, 93, 268, 1311
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_display_line_edit.py", "Python", 25, 0, 0, 0, 0, 0, 8, 33
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_hover.py", "Python", 64, 0, 0, 0, 0, 0, 18, 82
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\pyinstaller_tray_icon_hook.py", "Python", 39, 0, 0, 0, 0, 0, 18, 57
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\qt_resources_rc.py", "Python", 74, 0, 0, 0, 0, 4, 8, 86
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\recent_controller.py", "Python", 580, 0, 0, 0, 0, 40, 207, 827
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\state_controller.py", "Python", 208, 0, 0, 0, 0, 36, 67, 311
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\stress_test.py", "Python", 85, 0, 0, 0, 0, 20, 36, 141
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\styles.py", "Python", 459, 0, 0, 0, 0, 117, 50, 626
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tooltips.py", "Python", 296, 0, 0, 0, 0, 29, 80, 405
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tray_icon_support.py", "Python", 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_handlers.py", "Python", 207, 0, 0, 0, 0, 47, 62, 316
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_highlights.py", "Python", 58, 0, 0, 0, 0, 0, 18, 76
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\validation_controller.py", "Python", 520, 0, 0, 0, 0, 90, 125, 735
"Total", "-", 6340, 136, 105, 1, 4, 668, 2009, 9263
