"filename", "language", "Python", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Icons\README.md", "Markdown", 0, 1, 0, 0, -3, -2
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Icons\scroll_down_black.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Icons\scroll_up_black.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\README.md", "Markdown", 0, 3, 0, 0, 1, 4
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_build_controller.py", "Python", 272, 0, 0, 0, 84, 356
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_state_controller.py", "Python", 49, 0, 0, 0, 20, 69
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_tray_icon_support.py", "Python", 21, 0, 0, 0, 10, 31
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 24, 0, 0, -2, 10, 32
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\file_pickers.py", "Python", -6, 0, 0, 0, -2, -8
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\json_import_controller.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\main.py", "Python", 19, 0, 0, -7, 0, 12
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_display_line_edit.py", "Python", 25, 0, 0, 0, 8, 33
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\pyinstaller_tray_icon_hook.py", "Python", 39, 0, 0, 0, 18, 57
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\recent_controller.py", "Python", -10, 0, 0, 0, -3, -13
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\state_controller.py", "Python", 6, 0, 0, 0, 1, 7
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\styles.py", "Python", 184, 0, 0, 21, 34, 239
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tray_icon_support.py", "Python", 16, 0, 0, 0, 8, 24
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_dependency_popup.py", "Python", 3, 0, 0, 0, 0, 3
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_handlers.py", "Python", 5, 0, 0, 0, 1, 6
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\validation_controller.py", "Python", 30, 0, 0, 0, 4, 34
"Total", "-", 677, 4, 6, 12, 194, 893
