"filename", "language", "Python", "Markdown", "YAML", "XML", "Ini", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\path_hover_text.py", "Python", 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\pyinstaller_tray_icon_hook.py", "Python", 39, 0, 0, 0, 0, 0, 18, 57
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\qt_resources_rc.py", "Python", 74, 0, 0, 0, 0, 4, 8, 86
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\recent_controller.py", "Python", 634, 0, 0, 0, 0, 40, 225, 899
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\state_controller.py", "Python", 246, 0, 0, 0, 0, 36, 72, 354
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\stress_test.py", "Python", 85, 0, 0, 0, 0, 20, 36, 141
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\styles.py", "Python", 590, 0, 0, 0, 0, 140, 66, 796
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tooltips.py", "Python", 290, 0, 0, 0, 0, 29, 80, 399
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tray_icon_support.py", "Python", 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_handlers.py", "Python", 323, 0, 0, 0, 0, 46, 85, 454
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_highlights.py", "Python", 58, 0, 0, 0, 0, 0, 18, 76
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\validation_controller.py", "Python", 543, 0, 0, 0, 0, 90, 126, 759
"Total", "-", 9607, 180, 1, 387, 4, 689, 2772, 13640
