"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_build_controller.py", "Python", 109, 0, 31, 140
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 43, 0, 6, 49
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_icon_contract.py", "Python", 188, 0, 48, 236
"Total", "-", 340, 0, 85, 425
